year,month,site,prec,,Source:
1986,2,3,2.8,,
1986,3,3,12.45,,
1986,4,3,17.78,,
1986,5,3,26.92,,
1986,6,3,103.64,,
1986,7,3,105.92,,
1986,8,3,104.64,,
1986,9,3,23.37,,
1986,10,3,73.66,,
1986,11,3,46.73,,
1986,12,3,0,,
1987,1,3,3.56,,
1987,2,3,25.65,,
1987,3,3,27.94,,
1987,4,3,11.43,,
1987,5,3,84.07,,
1987,6,3,89.15,,
1987,7,3,16.26,,
1987,8,3,26.67,,
1987,9,3,81.03,,
1987,10,3,0,,
1987,11,3,4.83,,
1987,12,3,22.86,,
1988,1,3,0,,
1988,2,3,0,,
1988,3,3,0,,
1988,4,3,36.32,,
1988,5,3,131.32,,
1988,6,3,26.42,,
1988,7,3,22.1,,
1988,8,3,11.68,,
1988,9,3,89.15,,
1988,10,3,1.78,,
1988,11,3,5.59,,
1988,12,3,0,,
1989,1,3,4.83,,
1989,2,3,3.05,,
1989,3,3,0,,
1989,4,3,16,,
1989,5,3,71.37,,
1989,6,3,178.56,,
1989,7,3,55.63,,
1989,8,3,109.22,,
1989,9,3,76.2,,
1989,10,3,1.52,,
1989,11,3,0,,
1989,12,3,5.08,,
1990,1,3,24.64,,
1990,2,3,18.8,,
1990,3,3,22.1,,
1990,4,3,48.77,,
1990,5,3,123.44,,
1990,6,3,16.51,,
1990,7,3,96.01,,
1990,8,3,38.35,,
1990,9,3,106.17,,
1990,10,3,3.56,,
1990,11,3,23.11,,
1990,12,3,9.14,,
1991,1,3,2.54,,
1991,2,3,4.32,,
1991,3,3,32.51,,
1991,4,3,34.04,,
1991,5,3,51.31,,
1991,6,3,122.68,,
1991,7,3,37.34,,
1991,8,3,74.68,,
1991,9,3,37.08,,
1991,10,3,10.16,,
1991,11,3,0,,
1991,12,3,0,,
1992,1,3,0,,
1992,2,3,0,,
1992,3,3,0,,
1992,4,3,14.22,,
1992,5,3,53.85,,
1992,6,3,135.38,,
1992,7,3,81.79,,
1992,8,3,132.84,,
1992,9,3,15.49,,
1992,10,3,0,,
1992,11,3,30.48,,
1992,12,3,5.84,,
1993,1,3,18.03,,
1993,2,3,38.1,,
1993,3,3,42.42,,
1993,4,3,16.26,,
1993,5,3,72.14,,
1993,6,3,104.14,,
1993,7,3,7.11,,
1993,8,3,87.12,,
1993,9,3,22.86,,
1993,10,3,27.69,,
1993,11,3,11.68,,
1993,12,3,0,,
1994,1,3,6.6,,
1994,2,3,0,,
1994,3,3,8.38,,
1994,4,3,43.43,,
1994,5,3,40.64,,
1994,6,3,50.55,,
1994,7,3,67.06,,
1994,8,3,212.09,,
1994,9,3,0,,
1994,10,3,31.24,,
1994,11,3,21.59,,
1994,12,3,6.6,,
1995,1,3,21.59,,
1995,2,3,3.81,,
1995,3,3,5.59,,
1995,4,3,24.38,,
1995,5,3,81.53,,
1995,6,3,69.6,,
1995,7,3,93.22,,
1995,8,3,24.64,,
1995,9,3,0,,
1995,10,3,4.57,,
1995,11,3,0,,
1995,12,3,11.43,,
1996,1,3,0,,
1996,2,3,3.56,,
1996,3,3,5.33,,
1996,4,3,2.79,,
1996,5,3,36.83,,
1996,6,3,88.14,,
1996,7,3,198.12,,
1996,8,3,78.23,,
1996,9,3,104.65,,
1996,10,3,7.366,,
1996,11,3,7.11,,
1996,12,3,0,,
1997,1,3,2.03,,
1997,2,3,4.83,,
1997,3,3,12.95,,
1997,4,3,55.63,,
1997,5,3,18.54,,
1997,6,3,60.2,,
1997,7,3,13.46,,
1997,8,3,117.6,,
1997,9,3,15.24,,
1997,10,3,88.9,,
1997,11,3,1.02,,
1997,12,3,4.32,,
1998,1,3,3.71,,
1998,2,3,18.26,,
1998,3,3,27.18,,
1998,4,3,26.92,,
1998,5,3,51.04,,
1998,6,3,22.19,,
1998,7,3,158.37,,
1998,8,3,50.75,,
1998,9,3,10.39,,
1998,10,3,43.15,,
1998,11,3,44.63,,
1998,12,3,0,,
1999,1,3,28.448,,
1999,2,3,2.794,,
1999,3,3,70.866,,
1999,4,3,58.35,,
1999,5,3,64.7,,
1999,6,3,70.85,,
1999,7,3,78.9,,
1999,8,3,91.39,,
1999,9,3,30.74,,
1999,10,3,13.98,,
1999,11,3,13.462,,
1999,12,3,7.874,,
2000,1,3,9.144,,
2000,2,3,0.508,,
2000,3,3,21.55,,
2000,4,3,28.59,,
2000,5,3,19.75,,
2000,6,3,35.92,,
2000,7,3,74.87,,
2000,8,3,19.69,,
2000,9,3,2.54,,
2000,10,3,100.08,,
2000,11,3,3.81,,
2000,12,3,20.574,,
2001,1,3,47.752,,
2001,2,3,24.384,,
2001,3,3,26.416,,
2001,4,3,16.002,,
2001,5,3,139.446,,
2001,6,3,49.784,,
2001,7,3,18.034,,
2001,8,3,34.544,,
2001,9,3,0.762,,
2001,10,3,2.54,,
2001,11,3,9.144,,
2001,12,3,8.382,,
2002,1,3,14.478,,
2002,2,3,0,,
2002,3,3,1.016,,
2002,4,3,5.334,,
2002,5,3,17.018,,
2002,6,3,35.052,,
2002,7,3,22.352,,
2002,8,3,138.43,,
2002,9,3,46.99,,
2002,10,3,39.624,,
2002,11,3,5.08,,
2002,12,3,21.336,,
2003,1,3,2.54,,
2003,2,3,15.494,,
2003,3,3,33.528,,
2003,4,3,70.104,,
2003,5,3,36.83,,
2003,6,3,161.798,,
2003,7,3,19.812,,
2003,8,3,45.72,,
2003,9,3,19.558,,
2003,10,3,2.032,,
2003,11,3,11.176,,
2003,12,3,24.638,,
2004,1,3,3.556,,
2004,2,3,6.858,,
2004,3,3,1.27,,
2004,4,3,17.526,,
2004,5,3,85.852,,
2004,6,3,15.494,,
2004,7,3,102.616,,
2004,8,3,19.558,,
2004,9,3,11.43,,
2004,10,3,11.684,,
2004,11,3,43.688,,
2004,12,3,0,,
2005,1,3,4.826,,
2005,2,3,4.318,,
2005,3,3,1.27,,
2005,4,3,17.526,,
2005,5,3,85.852,,
2005,6,3,17.018,,
2005,7,3,30.48,,
2005,8,3,33.02,,
2005,9,3,5.08,,
2005,10,3,38.1,,
2005,11,3,2.54,,
2005,12,3,0,,
2006,1,3,7.62,,
2006,2,3,0,,
2006,3,3,19.558,,
2006,4,3,17.018,,
2006,5,3,30.988,,
2006,6,3,26.924,,
