id,date,est_date,time_point,year,month,season,phase,exp_year,julian,dss,site,slope,fert,treat,strip,rot_phs,comb_id,man_id,crop_id,crop,TOY,seed,seed_rate,n_added,dclass,d_from,d_to,bd,c_conc,soc,n_conc,sn,rep
,,,,1986,,,,,,,1,2,,9,11,,,,,,,,,,1,0,2.5,1.3,0.8646,2.80995,0.0789,0.256425,1
,,,,1986,,,,,,,1,2,,9,11,,,,,,,,,,2,2.5,5,1.28,0.7685,2.4592,0.0459,0.14688,1
,,,,1986,,,,,,,1,2,,9,11,,,,,,,,,,3,5,10,1.43,0.6725,4.808375,0.0834,0.59631,1
,,,,1986,,,,,,,1,2,,9,11,,,,,,,,,,4,10,20,1.34,0,0,0.0826,1.10684,1
,,,,1986,,,,,,,1,3,,9,11,,,,,,,,,,1,0,2.5,1.15,1.3641,3.9217875,0.1252,0.35995,1
,,,,1986,,,,,,,1,3,,9,11,,,,,,,,,,2,2.5,5,1.17,1.3065,3.8215125,0.101,0.295425,1
,,,,1986,,,,,,,1,3,,9,11,,,,,,,,,,3,5,10,1.31,1.172,7.6766,0.1378,0.90259,1
,,,,1986,,,,,,,1,3,,9,11,,,,,,,,,,4,10,20,1.47,0,0,0.1341,1.97127,1
,,,,1986,,,,,,,1,1,,11,12,,,,,,,,,,1,0,2.5,1.16,0.78,2.262,0.0617,0.17893,1
,,,,1986,,,,,,,1,1,,11,12,,,,,,,,,,2,2.5,5,1.17,0.7,2.0475,0.0147,0.0429975,1
,,,,1986,,,,,,,1,1,,11,12,,,,,,,,,,3,5,10,1.53,0.7,5.355,0.0021,0.016065,1
,,,,1986,,,,,,,1,1,,11,12,,,,,,,,,,4,10,20,1.41,0,0,0.0657,0.92637,1
,,,,1986,,,,,,,1,2,,11,12,,,,,,,,,,1,0,2.5,1.3,0.82,2.665,0.069,0.22425,1
,,,,1986,,,,,,,1,2,,11,12,,,,,,,,,,2,2.5,5,1.28,0.76,2.432,0.035,0.112,1
,,,,1986,,,,,,,1,2,,11,12,,,,,,,,,,3,5,10,1.43,0.68,4.862,0.0118,0.08437,1
,,,,1986,,,,,,,1,2,,11,12,,,,,,,,,,4,10,20,1.34,0,0,0.0601,0.80534,1
,,,,1986,,,,,,,1,3,,11,12,,,,,,,,,,1,0,2.5,1.15,1.24,3.565,0.0633,0.1819875,1
,,,,1986,,,,,,,1,3,,11,12,,,,,,,,,,2,2.5,5,1.17,1.07,3.12975,0.0435,0.1272375,1
,,,,1986,,,,,,,1,3,,11,12,,,,,,,,,,3,5,10,1.31,1.03,6.7465,0.0776,0.50828,1
,,,,1986,,,,,,,1,3,,11,12,,,,,,,,,,4,10,20,1.47,0,0,0.08,1.176,1
,,,,1986,,,,,,,1,1,,4,13,,,,,,,,,,1,0,2.5,1.16,0.93,2.697,0.0614,0.17806,1
,,,,1986,,,,,,,1,1,,4,13,,,,,,,,,,2,2.5,5,1.17,0.81,2.36925,0.0681,0.1991925,1
,,,,1986,,,,,,,1,1,,4,13,,,,,,,,,,3,5,10,1.53,0.71,5.4315,0.0705,0.539325,1
,,,,1986,,,,,,,1,1,,4,13,,,,,,,,,,4,10,20,1.41,0,0,0.0658,0.92778,1
,,,,1986,,,,,,,1,2,,4,13,,,,,,,,,,1,0,2.5,1.3,0.98,3.185,0.0621,0.201825,1
,,,,1986,,,,,,,1,2,,4,13,,,,,,,,,,2,2.5,5,1.28,0.79,2.528,0.0802,0.25664,1
,,,,1986,,,,,,,1,2,,4,13,,,,,,,,,,3,5,10,1.43,0.75,5.3625,0.075,0.53625,1
,,,,1986,,,,,,,1,2,,4,13,,,,,,,,,,4,10,20,1.34,0,0,0.0629,0.84286,1
,,,,1986,,,,,,,1,3,,4,13,,,,,,,,,,1,0,2.5,1.15,1.33,3.82375,0.1226,0.352475,1
,,,,1986,,,,,,,1,3,,4,13,,,,,,,,,,2,2.5,5,1.17,1.22,3.5685,0.0952,0.27846,1
,,,,1986,,,,,,,1,3,,4,13,,,,,,,,,,3,5,10,1.31,1.1,7.205,0.087,0.56985,1
,,,,1986,,,,,,,1,3,,4,13,,,,,,,,,,4,10,20,1.47,0,0,0.1126,1.65522,1
,,,,1986,,,,,,,1,1,,5,14,,,,,,,,,,1,0,2.5,1.16,0.8262,2.39598,0.0936,0.27144,1
,,,,1986,,,,,,,1,1,,5,14,,,,,,,,,,2,2.5,5,1.17,0.8454,2.472795,0.0951,0.2781675,1
,,,,1986,,,,,,,1,1,,5,14,,,,,,,,,,3,5,10,1.53,0.6917,5.291505,0.0988,0.75582,1
,,,,1986,,,,,,,1,1,,5,14,,,,,,,,,,4,10,20,1.41,0,0,0.09,1.269,1
,,,,1986,,,,,,,1,2,,5,14,,,,,,,,,,1,0,2.5,1.3,0.8454,2.74755,0.0944,0.3068,1
,,,,1986,,,,,,,1,2,,5,14,,,,,,,,,,2,2.5,5,1.28,0.7493,2.39776,0.0936,0.29952,1
,,,,1986,,,,,,,1,2,,5,14,,,,,,,,,,3,5,10,1.43,0.7301,5.220215,0.0782,0.55913,1
,,,,1986,,,,,,,1,2,,5,14,,,,,,,,,,4,10,20,1.34,0,0,0.0568,0.76112,1
,,,,1986,,,,,,,1,3,,5,14,,,,,,,,,,1,0,2.5,1.15,1.2104,3.4799,0.112,0.322,1
,,,,1986,,,,,,,1,3,,5,14,,,,,,,,,,2,2.5,5,1.17,1.1528,3.37194,0.0642,0.187785,1
